Database,Scale,Indexed,Operation_Type,Scenario_Name,Average_Time_Seconds,Median_Time_Seconds,StdDev_Time_Seconds
MySQL,10000,False,READ,select_aggregated_costs,0.00167620000623477,0.001725200010696426,7.24300007904413e-05
MySQL,10000,False,READ,select_prescriptions_with_meds,0.0015731333308697988,0.0015492999809794128,3.744261774088584e-05
MySQL,10000,False,UPDATE,update_patient_name,0.0034020333259832114,0.0034069000103045255,0.00016823349293461912
MySQL,10000,False,UPDATE,update_visit_status,0.003216799998578305,0.0037847000057809055,0.0010338993250644671
MySQL,10000,False,UPDATE,update_service_price,0.003237333323340863,0.0038517999928444624,0.0009852464963487995
MySQL,10000,False,UPDATE,update_diagnosis_notes,0.0012824333292276908,0.0012894999817945063,3.21523711267777e-05
MySQL,10000,False,UPDATE,update_doctor_license,0.0034045999927911907,0.0034918999881483614,0.0001534430720120991
MySQL,10000,False,UPDATE,update_department_phone,0.002814433323995521,0.003183699998771772,0.000931020461166316
MySQL,10000,False,DELETE,delete_test_result,0.006374166667228565,0.0062682999996468425,0.000785696391752163
MySQL,10000,False,DELETE,delete_diagnosis,0.009032733321267491,0.007205200003227219,0.00276109194066933
MySQL,10000,False,DELETE,delete_patient,0.01237533333672521,0.011195300001418218,0.0020597102356940847
MySQL,10000,False,DELETE,delete_performed_service,0.01111306666280143,0.010598299995763227,0.001540464013399916
MySQL,10000,False,DELETE,delete_prescription,0.009009266660238305,0.008941899985074997,0.002371298796218117
MySQL,10000,False,DELETE,delete_visit_cascade,0.014354466654670736,0.014969699986977503,0.001533785261034757
MongoDB,10000,False,CREATE,insert_patient,0.002273999988877525,0.0022251999762374908,0.00011534620093393437
MongoDB,10000,False,CREATE,insert_visit,0.0021154000132810324,0.0019354000105522573,0.00026961602943685527
MongoDB,10000,False,CREATE,insert_diagnosis,0.0019369333361585934,0.001993599988054484,0.00010585630147430407
MongoDB,10000,False,CREATE,insert_prescription_with_items,0.001967999996850267,0.0019061000202782452,0.00014130440787978485
MongoDB,10000,False,CREATE,insert_performed_service,0.0020354666630737484,0.00206389999948442,0.00013124953180478885
MongoDB,10000,False,CREATE,insert_test_result,0.0022436666671031467,0.0022363000025507063,4.8738223732522065e-05
MongoDB,10000,False,READ,select_patient_by_id,0.001055800006724894,0.001030800020089373,4.6141716035177674e-05
MongoDB,10000,False,READ,select_visits_with_doctor,0.0037492666742764413,0.0037407999916467816,0.0003096733732541888
MongoDB,10000,False,READ,select_visit_diagnoses,0.0017225666767141472,0.0018189999973401427,0.00020898857816441737
MongoDB,10000,False,READ,select_patient_full_history,0.001206599990837276,0.0012240999785717577,7.013507317638332e-05
MongoDB,10000,False,READ,select_aggregated_costs,0.0013263000000733882,0.0013117999769747257,2.208000870023394e-05
MongoDB,10000,False,READ,select_prescriptions_with_meds,0.001552133335887144,0.0015562999760732055,0.0003564537638483883
MongoDB,10000,False,UPDATE,update_patient_name,0.0010117666679434478,0.0009760999819263816,9.360286186600581e-05
MongoDB,10000,False,UPDATE,update_visit_status,0.0008854000091863176,0.0009178000036627054,5.6459767513216986e-05
MongoDB,10000,False,UPDATE,update_service_price,0.0009499333294418951,0.000902600004337728,6.857221743983404e-05
MongoDB,10000,False,UPDATE,update_diagnosis_notes,0.0011493333440739661,0.0011487000156193972,1.7519578924631933e-05
MongoDB,10000,False,UPDATE,update_doctor_license,0.0010272666792540501,0.0010221000120509416,6.80714442117214e-05
MongoDB,10000,False,UPDATE,update_department_phone,0.0008999333367682993,0.00090230000205338,2.6466611906900723e-05
MongoDB,10000,False,DELETE,delete_test_result,0.0017278666588633012,0.0017744999786373228,7.328038502440986e-05
MongoDB,10000,False,DELETE,delete_diagnosis,0.0017538333292274426,0.0017409000138286501,4.072192022372312e-05
MongoDB,10000,False,DELETE,delete_patient,0.0018687666646049668,0.00186980000580661,4.421933116544631e-05
MongoDB,10000,False,DELETE,delete_performed_service,0.0023345999943558127,0.002296899998327717,0.0002652753796191963
MongoDB,10000,False,DELETE,delete_prescription,0.0032218333314328143,0.0029261000163387507,0.0009851005391895104
MongoDB,10000,False,DELETE,delete_visit_cascade,0.0028222000012950352,0.0027174999995622784,0.0003352429615701192
