Database,Scale,Indexed,Operation_Type,Scenario_Name,Average_Time_Seconds,Median_Time_Seconds,StdDev_Time_Seconds
PostgreSQL,100000,True,CREATE,insert_patient,0.002368299998731042,0.002347600006032735,0.0001837648721377427
PostgreSQL,100000,True,CREATE,insert_visit,0.0021562666612832495,0.002158999996026978,1.0869334999635419e-05
PostgreSQL,100000,True,CREATE,insert_diagnosis,0.0023143000047033033,0.002171600004658103,0.00022015840634469398
PostgreSQL,100000,True,CREATE,insert_prescription_with_items,0.004233433350843067,0.004261300025973469,0.0001254201083321673
PostgreSQL,100000,True,CREATE,insert_performed_service,0.0021408666604353734,0.002065899985609576,0.0001288612204427962
PostgreSQL,100000,True,CREATE,insert_test_result,0.0021897000066625574,0.0021831000049132854,0.00015226650524068048
PostgreSQL,100000,True,READ,select_patient_by_id,0.0004273666612183054,0.00042719999328255653,7.845794605255985e-07
PostgreSQL,100000,True,READ,select_visits_with_doctor,0.0005566333323561897,0.0005531999922823161,3.661878031403258e-05
PostgreSQL,100000,True,READ,select_visit_diagnoses,0.0005026666719156007,0.0005030000174883753,5.436466213776133e-07
PostgreSQL,100000,True,READ,select_patient_full_history,0.0008534999991146227,0.0008006999851204455,7.587574004106356e-05
PostgreSQL,100000,True,READ,select_aggregated_costs,0.0006897000130265951,0.0007107000274118036,6.507692659046147e-05
PostgreSQL,100000,True,READ,select_prescriptions_with_meds,0.0005160999911216398,0.0005022999830543995,2.029892921401863e-05
PostgreSQL,100000,True,UPDATE,update_patient_name,0.000996466667857021,0.000997700000880286,1.7943311530182623e-05
PostgreSQL,100000,True,UPDATE,update_visit_status,0.0010238333294788997,0.0010342999885324389,4.366122686686341e-05
PostgreSQL,100000,True,UPDATE,update_service_price,0.0009011333362044146,0.0010667000024113804,0.00035861655841350746
PostgreSQL,100000,True,UPDATE,update_diagnosis_notes,0.0008961333272357782,0.00098079998861067,0.00018655704067318022
PostgreSQL,100000,True,UPDATE,update_doctor_license,0.0009855333288821082,0.0009778999956324697,2.8721692285128462e-05
PostgreSQL,100000,True,UPDATE,update_department_phone,0.0009683000001435479,0.0009673000022303313,7.3011372647205836e-06
PostgreSQL,100000,True,DELETE,delete_test_result,0.0020411000004969537,0.001983699999982491,0.00010409556992684852
PostgreSQL,100000,True,DELETE,delete_diagnosis,0.0019516000077904512,0.0019478999893181026,1.72238216421611e-05
PostgreSQL,100000,True,DELETE,delete_patient,0.0020948666788171977,0.0021216000022832304,4.6998526837586814e-05
PostgreSQL,100000,True,DELETE,delete_performed_service,0.0019211666658520699,0.0019127000123262405,5.568124839974354e-05
PostgreSQL,100000,True,DELETE,delete_prescription,0.002051266657266145,0.0018980999884661287,0.00021731785535317145
PostgreSQL,100000,True,DELETE,delete_visit_cascade,0.005262966675218195,0.005109599995194003,0.00027938817263199045
MySQL,100000,True,CREATE,insert_patient,0.0053794666794904815,0.004883000015979633,0.0008363418216381274
MySQL,100000,True,CREATE,insert_visit,0.005532166668369125,0.005431700003100559,0.00022820096838777754
MySQL,100000,True,CREATE,insert_diagnosis,0.005115533334901556,0.005062800017185509,0.00017419560344711615
MySQL,100000,True,CREATE,insert_prescription_with_items,0.010409133334178478,0.010489400010555983,0.00017249600338118673
MySQL,100000,True,CREATE,insert_performed_service,0.0051493999975112574,0.005245700012892485,0.0002291323836394896
MySQL,100000,True,CREATE,insert_test_result,0.005015399995803212,0.004882299981545657,0.00023659097432145618
MySQL,100000,True,READ,select_patient_by_id,0.0012500999922243257,0.0012323000119067729,2.8268117188042003e-05
MySQL,100000,True,READ,select_visits_with_doctor,0.014164333328759918,0.020434699981706217,0.008874709581145359
MySQL,100000,True,READ,select_visit_diagnoses,0.0013224333330678444,0.0013201999827288091,1.3361727139085393e-05
MySQL,100000,True,READ,select_patient_full_history,0.01918336667586118,0.01930260000517592,0.0006866033106887088
MySQL,100000,True,READ,select_aggregated_costs,0.05040050000146342,0.05022909998660907,0.0004666383899311729
MySQL,100000,True,READ,select_prescriptions_with_meds,0.0013139666601394613,0.001305099984165281,2.496828677313554e-05
MySQL,100000,True,UPDATE,update_patient_name,0.003163766668876633,0.0032344000064767897,0.00017698399673818444
MySQL,100000,True,UPDATE,update_visit_status,0.0029593000072054565,0.0029799000185448676,4.242411476271114e-05
