Database,Scale,Indexed,Operation_Type,Scenario_Name,Average_Time_Seconds,Median_Time_Seconds,StdDev_Time_Seconds
PostgreSQL,100000,False,CREATE,insert_patient,0.0067725000068700565,0.006776599999284372,0.00037253785469301063
PostgreSQL,100000,False,CREATE,insert_visit,0.015395300006881977,0.015276500023901463,0.0006242557298013097
PostgreSQL,100000,False,CREATE,insert_diagnosis,0.0022290999962327382,0.002244699979200959,0.00016505636797759538
PostgreSQL,100000,False,CREATE,insert_prescription_with_items,0.006824933341704309,0.00676350001594983,0.00012822013356638166
PostgreSQL,100000,False,CREATE,insert_performed_service,0.0019609000106963017,0.0019391000096220523,4.257065220885954e-05
PostgreSQL,100000,False,CREATE,insert_test_result,0.0019852999927631267,0.0019511999853421003,4.9075652174792076e-05
PostgreSQL,100000,False,READ,select_patient_by_id,0.0004015000013168901,0.0003870000073220581,2.0789574394762887e-05
PostgreSQL,100000,False,READ,select_visits_with_doctor,0.004225466662319377,0.0043040000018663704,0.00034393033244803497
PostgreSQL,100000,False,READ,select_visit_diagnoses,0.004126133339013904,0.004051399999298155,0.000227890404320007
PostgreSQL,100000,False,READ,select_patient_full_history,0.009386599995195866,0.009387199999764562,8.679461902544845e-05
PostgreSQL,100000,False,READ,select_aggregated_costs,0.008900933336311331,0.00889850000385195,1.5649138687716197e-05
PostgreSQL,100000,False,READ,select_prescriptions_with_meds,0.0031325000163633376,0.0017928000015672296,0.0019060176663695779
PostgreSQL,100000,False,UPDATE,update_patient_name,0.0010445333318784833,0.0010765000188257545,4.900316754728047e-05
PostgreSQL,100000,False,UPDATE,update_visit_status,0.0009671000007074326,0.0009528000082354993,2.3182886929853514e-05
PostgreSQL,100000,False,UPDATE,update_service_price,0.004983733340244119,0.004943700012518093,0.0002729163517771778
PostgreSQL,100000,False,UPDATE,update_diagnosis_notes,0.004709999998643373,0.004852400015806779,0.0005567241694338965
PostgreSQL,100000,False,UPDATE,update_doctor_license,0.0009507999930065125,0.0009498999861534685,3.447707448057065e-06
PostgreSQL,100000,False,UPDATE,update_department_phone,0.0010858666598020743,0.0011266999936196953,7.76255276752726e-05
PostgreSQL,100000,False,DELETE,delete_test_result,0.002265633336113145,0.0024409000179730356,0.000251479368482661
