Database,Scale,Operation_Type,Scenario_Name,Average_Time_Seconds
Redis,10000,CREATE,create_mock,0.0004034666538548966
Redis,10000,READ,read_mock,0.00043756666127592325
Redis,10000,READ,read_mock,0.0003915999938423435
Redis,10000,READ,read_mock,0.0004062666557729244
Redis,10000,READ,read_mock,0.00037810000746200484
Redis,10000,READ,read_mock,0.0003743666651037832
Redis,10000,READ,read_mock,0.00036203333487113315
Redis,10000,UPDATE,update_mock,0.00043786666356027126
Redis,10000,UPDATE,update_mock,0.00039113334302480024
Redis,10000,UPDATE,update_mock,0.0004175999977936347
Redis,10000,UPDATE,update_mock,0.0003775000028933088
Redis,10000,UPDATE,update_mock,0.00037099999220420915
Redis,10000,UPDATE,update_mock,0.0003863666594649355
Redis,10000,DELETE,delete_mock,0.0003934999695047736
Redis,10000,DELETE,delete_mock,0.0003721666483518978
Redis,10000,DELETE,delete_mock,0.00037013333834086853
Redis,10000,DELETE,delete_mock,0.00036393332993611693
Redis,10000,DELETE,delete_mock,0.00043140000586087507
Redis,10000,DELETE,delete_mock,0.00038729999990512926
PostgreSQL,100000,CREATE,insert_patient,0.007883899981000772
MySQL,100000,CREATE,insert_patient,0.00986390000131602
MongoDB,100000,CREATE,insert_patient,0.007962066660790393
MongoDB,100000,CREATE,insert_visit,0.0007307333289645612
MongoDB,100000,READ,read_patient_by_id,0.0009867666716066499
MongoDB,100000,UPDATE,update_patient_name,0.0007525666733272374
MongoDB,100000,READ,read_mock,0.0006927000164675216
MongoDB,100000,READ,read_mock,0.0007041333398471276
MongoDB,100000,READ,read_mock,0.0007015999872237444
MongoDB,100000,READ,read_mock,0.0006850333302281797
MongoDB,100000,READ,read_mock,0.0006998666600945095
MongoDB,100000,READ,read_mock,0.0007137000017488996
MongoDB,100000,CREATE,create_mock,0.0007346333392585317
MongoDB,100000,CREATE,create_mock,0.0007181333494372666
MongoDB,100000,CREATE,create_mock,0.0006737666747843226
MongoDB,100000,CREATE,create_mock,0.0006752999809881052
MongoDB,100000,CREATE,create_mock,0.000687100012631466
MongoDB,100000,UPDATE,update_mock,0.0006716666587938865
MongoDB,100000,UPDATE,update_mock,0.0007283999972666303
MongoDB,100000,UPDATE,update_mock,0.0006737666553817689
MongoDB,100000,UPDATE,update_mock,0.0008607666629056135
MongoDB,100000,UPDATE,update_mock,0.000668166670948267
MongoDB,100000,DELETE,delete_mock,0.0007099333452060819
MongoDB,100000,DELETE,delete_mock,0.0006835999859807392
MongoDB,100000,DELETE,delete_mock,0.0006653999832148353
MongoDB,100000,DELETE,delete_mock,0.000846800006305178
MongoDB,100000,DELETE,delete_mock,0.0006678332962716619
MongoDB,100000,DELETE,delete_mock,0.0006804000004194677
Redis,100000,CREATE,create_mock,0.005072466660446177
Redis,100000,CREATE,create_mock,0.00038600000940884155
Redis,100000,CREATE,create_mock,0.0003983000060543418
Redis,100000,CREATE,create_mock,0.0003890999942086637
Redis,100000,CREATE,create_mock,0.0004008666534597675
Redis,100000,CREATE,create_mock,0.0004145666607655585
Redis,100000,READ,read_mock,0.000381199992261827
Redis,100000,READ,read_mock,0.00042943334362159175
Redis,100000,READ,read_mock,0.00039110000943765044
Redis,100000,READ,read_mock,0.0004165333424073954
Redis,100000,READ,read_mock,0.0003982333194774886
Redis,100000,READ,read_mock,0.000413533338966469
Redis,100000,UPDATE,update_mock,0.00041013333247974515
Redis,100000,UPDATE,update_mock,0.0003955333377234638
Redis,100000,UPDATE,update_mock,0.0004437333360935251
Redis,100000,UPDATE,update_mock,0.0004161333393615981
Redis,100000,UPDATE,update_mock,0.0004111333400942385
Redis,100000,UPDATE,update_mock,0.00042483332799747586
Redis,100000,DELETE,delete_mock,0.0003962333236510555
Redis,100000,DELETE,delete_mock,0.0003815333475358784
Redis,100000,DELETE,delete_mock,0.00042320000162969035
Redis,100000,DELETE,delete_mock,0.00040063333775227267
Redis,100000,DELETE,delete_mock,0.00039496668614447117
Redis,100000,DELETE,delete_mock,0.00038223333346347016
PostgreSQL,10000,CREATE,insert_patient,0.002891533348398904
PostgreSQL,10000,CREATE,insert_visit,0.00290639999244983
PostgreSQL,10000,CREATE,insert_diagnosis,0.0025113666973387203
PostgreSQL,10000,CREATE,insert_prescription,0.004663733338626723
PostgreSQL,10000,CREATE,insert_service,0.0020572333208595714
PostgreSQL,10000,CREATE,insert_test_result,0.001963999995496124
PostgreSQL,10000,READ,read_patient_by_id,0.00045086666553591687
PostgreSQL,10000,READ,read_visits_with_doctor,0.0008128333332327505
PostgreSQL,10000,READ,read_visit_diagnoses,0.0006505666533485055
PostgreSQL,10000,READ,read_patient_full_history,0.0014048999873921275
PostgreSQL,10000,READ,read_services_with_prices,0.0006722999969497323
PostgreSQL,10000,READ,read_prescriptions_with_meds,0.0008177666653258105
PostgreSQL,10000,UPDATE,update_patient_name,0.0011032666661776602
PostgreSQL,10000,UPDATE,update_visit_status,0.00097536666241164
PostgreSQL,10000,UPDATE,update_service_price,0.0010946333253135283
PostgreSQL,10000,UPDATE,update_diagnosis_notes,0.000995266658719629
PostgreSQL,10000,UPDATE,update_doctor_license,0.0009649000130593777
PostgreSQL,10000,UPDATE,update_department_phone,0.0010144666691000264
PostgreSQL,10000,DELETE,delete_test_result,0.000978600000962615
PostgreSQL,10000,DELETE,delete_diagnosis,0.0009684999822638929
PostgreSQL,10000,DELETE,delete_patient,0.001440199965145439
PostgreSQL,10000,DELETE,delete_prescription_item,0.0010764600010588765
PostgreSQL,10000,DELETE,delete_service,0.0008716499840375037
PostgreSQL,10000,DELETE,delete_visit,0.001296179968630895
PostgreSQL,10000,DELETE,delete_test_result,0.0010005999938584864
PostgreSQL,10000,DELETE,delete_diagnosis,0.000965600018389523
